Date,Open,High,Low,Close,Volume,BuySell
11-Nov-12,65.18,66.17,63.16,63.43,238568800,0
18-Nov-12,63.80,63.87,61.31,62.30,284604608,0
25-Nov-12,62.98,64.92,62.96,64.90,143393696,0
2-Dec-12,64.74,66.14,64.25,65.80,164188800,0
9-Dec-12,66.31,66.37,64.53,64.93,209502400,0
16-Dec-12,64.75,66.34,64.47,64.69,204986096,0
23-Dec-12,64.75,66.76,64.60,65.20,224638592,0
30-Dec-12,65.03,65.18,63.60,63.78,119184896,0
6-Jan-13,63.71,67.34,63.58,66.63,209578896,1
13-Jan-13,66.46,67.29,66.17,67.26,139788000,0
20-Jan-13,66.92,67.48,66.33,67.07,166282304,0
27-Jan-13,67.14,67.79,66.56,67.00,145935200,0
3-Feb-13,67.01,67.78,66.63,67.66,190917104,0
10-Feb-13,67.27,68.13,66.46,67.99,213052304,0
17-Feb-13,68.03,68.23,67.56,67.75,113015400,0
24-Feb-13,67.88,68.26,66.23,67.14,129460400,0
3-Mar-13,67.57,67.81,65.96,67.38,179530400,0
10-Mar-13,67.16,69.02,67.07,68.77,131969296,0
17-Mar-13,68.68,69.01,68.34,68.51,147344000,0
24-Mar-13,67.88,68.86,67.62,68.59,156211504,0
31-Mar-13,68.81,69.06,68.01,68.97,90837296,0
7-Apr-13,69.02,69.27,67.19,67.86,180574096,0
14-Apr-13,67.89,70.17,67.69,69.94,174111600,0
21-Apr-13,69.68,69.79,66.88,68.09,236544192,-1
28-Apr-13,68.33,70.05,68.08,69.57,182508000,1
5-May-13,69.79,72.34,69.76,72.12,156142896,0
12-May-13,72.25,73.10,72.09,73.05,119335400,0
19-May-13,72.93,74.33,72.86,74.30,151322208,0
26-May-13,74.16,74.95,72.76,73.41,185528000,0
2-Jun-13,74.27,74.54,73.12,73.25,129885504,0
9-Jun-13,73.26,73.82,71.47,73.39,226013104,0
16-Jun-13,73.53,73.76,71.55,72.28,163663008,-1
23-Jun-13,72.85,73.72,69.84,70.43,212907392,0
30-Jun-13,69.85,71.69,69.15,71.27,145978096,0
7-Jul-13,71.75,72.61,71.35,72.58,95654096,0
14-Jul-13,72.96,75.35,72.38,75.30,151447504,0
21-Jul-13,75.38,75.74,74.37,74.59,150173408,0
28-Jul-13,74.87,75.38,74.20,75.37,114350096,0
4-Aug-13,75.22,76.99,75.03,76.97,105055904,0
11-Aug-13,76.93,77.08,75.87,76.49,97971904,0
18-Aug-13,76.20,77.27,75.29,75.48,137585504,0
25-Aug-13,75.49,76.77,75.14,76.67,117101600,0
1-Sep-13,76.73,77.28,74.96,75.47,141601200,0
8-Sep-13,76.09,77.34,75.54,76.93,99909200,0
15-Sep-13,77.26,78.32,77.23,78.06,116179400,0
22-Sep-13,78.72,79.69,77.67,78.99,137357904,0
29-Sep-13,79.32,79.41,78.40,79.07,122510400,0
6-Oct-13,78.25,79.76,78.00,79.40,152516304,1
13-Oct-13,78.70,79.35,76.35,79.23,201691296,0
20-Oct-13,78.74,82.18,78.68,82.15,188713504,0
27-Oct-13,82.34,83.28,81.55,82.90,172122592,0
3-Nov-13,82.91,83.49,82.40,82.81,161209696,0
10-Nov-13,83.06,83.40,81.37,82.54,154030096,0
17-Nov-13,82.42,83.96,82.00,83.96,127889800,0
24-Nov-13,83.94,84.11,82.46,83.99,142888608,0
1-Dec-13,84.29,85.84,83.98,85.73,86663104,0
8-Dec-13,85.83,86.18,84.78,86.00,177367008,0
15-Dec-13,86.35,86.53,84.71,84.85,154121104,0
22-Dec-13,85.27,86.68,84.05,86.50,203184096,0
29-Dec-13,87.21,87.90,86.95,87.52,73102800,0
5-Jan-14,87.39,87.96,86.62,86.64,108775400,0
12-Jan-14,86.66,87.64,86.00,87.30,146814704,0
19-Jan-14,87.18,88.54,85.68,87.88,194382704,0
26-Jan-14,88.44,89.00,86.71,86.74,154776096,0
2-Feb-14,86.74,86.89,84.76,86.27,270857984,-1
9-Feb-14,86.11,87.36,83.74,87.30,215662208,0
16-Feb-14,87.27,90.01,87.21,89.81,175015008,1
23-Feb-14,89.96,90.47,89.31,89.93,144303504,0
2-Mar-14,90.14,90.96,89.54,90.34,178578000,0
9-Mar-14,89.49,91.36,88.87,90.53,154509696,0
16-Mar-14,90.48,91.06,88.63,88.67,160867504,0
23-Mar-14,89.24,90.66,88.83,89.00,194975296,0
30-Mar-14,89.32,89.39,86.40,87.05,265068608,-1
6-Apr-14,87.73,89.68,86.14,86.37,268772000,0
13-Apr-14,85.83,87.88,83.91,84.11,348493696,0
20-Apr-14,84.85,86.63,83.28,86.20,231822592,0
27-Apr-14,86.40,88.21,85.98,86.19,192178304,0
4-May-14,86.60,88.15,85.11,87.49,211257296,1
11-May-14,86.97,87.97,85.53,86.80,210750400,0
18-May-14,87.32,88.61,86.58,87.71,222231008,0
25-May-14,87.45,89.90,87.30,89.88,155875104,0
1-Jun-14,90.28,91.45,90.20,91.31,123135800,0
8-Jun-14,91.42,92.82,90.64,92.82,130566400,0
15-Jun-14,92.84,93.02,91.73,92.32,141626704,0
22-Jun-14,92.16,93.17,91.96,92.77,144023904,0
29-Jun-14,92.76,93.77,92.43,93.75,131044000,0
6-Jul-14,93.73,95.70,93.67,95.70,85683400,0
13-Jul-14,95.59,95.71,93.63,95.27,157609408,0
20-Jul-14,95.70,96.30,94.32,96.12,160892800,0
27-Jul-14,95.92,97.51,95.55,96.74,139074704,0
3-Aug-14,96.84,97.32,94.04,94.67,198730000,0
10-Aug-14,94.87,95.69,93.89,94.90,191505104,0
17-Aug-14,95.27,97.63,94.93,97.40,164638400,0
24-Aug-14,97.91,99.25,97.77,99.05,127768800,0
31-Aug-14,99.52,99.91,99.08,99.78,101284400,0
7-Sep-14,100.02,100.34,99.03,99.89,99739200,0
14-Sep-14,99.92,100.46,99.06,99.48,152236896,0
21-Sep-14,99.59,100.56,98.05,99.98,185450304,0
28-Sep-14,99.74,99.89,97.70,98.78,243355296,-1
5-Oct-14,97.80,99.30,95.97,98.17,229471008,0
12-Oct-14,98.48,98.76,94.42,94.44,286200800,0
19-Oct-14,94.27,94.99,90.24,93.00,424210688,0
26-Oct-14,92.99,98.69,92.80,98.62,225548496,0
2-Nov-14,98.43,101.75,98.02,101.40,194783504,1
9-Nov-14,101.58,102.03,100.67,101.60,127676496,0
16-Nov-14,101.65,103.28,101.38,103.22,105143400,0
23-Nov-14,102.98,104.69,102.42,103.87,130381696,0
30-Nov-14,104.15,106.25,104.06,106.01,71788496,0
7-Dec-14,105.72,105.92,104.42,105.38,151606096,0
14-Dec-14,105.11,105.57,102.66,102.67,212516400,0
21-Dec-14,103.20,104.74,99.92,104.32,299293088,0
28-Dec-14,104.15,105.26,104.09,105.04,92241696,0
4-Jan-15,104.94,105.25,102.44,102.94,91359504,0
11-Jan-15,102.49,103.65,99.62,102.62,221926896,-1
18-Jan-15,102.82,103.62,99.36,100.82,228013904,0
25-Jan-15,101.43,104.58,100.29,104.26,146763104,0
1-Feb-15,104.14,104.33,99.96,101.10,198273104,0
8-Feb-15,101.33,104.17,99.75,103.13,166223104,0
15-Feb-15,102.73,106.93,102.55,106.91,118145296,0
22-Feb-15,106.91,108.47,106.64,108.41,80989696,0
1-Mar-15,108.35,108.94,108.05,108.40,107098400,0
8-Mar-15,108.61,109.42,107.14,107.41,111156304,0
15-Mar-15,107.63,107.99,104.68,105.34,149425600,0
22-Mar-15,105.73,109.07,105.62,108.53,148975504,0
29-Mar-15,108.47,108.81,104.24,105.52,163019904,0
5-Apr-15,106.16,106.82,104.37,105.12,113193000,0
12-Apr-15,104.50,107.76,104.34,107.75,109976400,0
19-Apr-15,107.83,108.38,105.55,106.01,125377104,0
26-Apr-15,106.54,110.69,106.50,110.54,135116192,0
3-May-15,110.95,111.16,107.06,109.05,178969200,0
10-May-15,109.40,109.91,106.00,108.69,176396896,0
17-May-15,108.76,110.01,106.80,109.58,121924304,0
24-May-15,109.40,110.87,109.32,110.47,83291504,0
31-May-15,110.23,111.08,108.76,110.05,103746496,0
7-Jun-15,110.64,110.81,108.63,109.30,118543296,0
14-Jun-15,109.25,110.15,107.20,108.75,127197000,0
21-Jun-15,107.94,110.88,107.31,109.89,141902400,0
28-Jun-15,110.70,111.13,108.86,109.27,103703104,0
5-Jul-15,108.06,108.66,106.64,107.95,127477200,0
12-Jul-15,107.27,108.32,105.83,107.65,163030096,0
19-Jul-15,108.58,113.59,108.57,113.59,142155104,1
26-Jul-15,113.83,114.39,110.93,111.10,154125904,0
2-Aug-15,110.47,112.49,109.79,111.95,143782208,0
9-Aug-15,111.97,113.00,109.40,110.31,148256192,0
16-Aug-15,111.01,111.81,108.22,110.51,139948496,0
23-Aug-15,110.24,111.46,102.40,102.40,233231392,-1
30-Aug-15,94.23,106.00,84.74,105.62,449319296,0
6-Sep-15,105.03,105.61,100.63,102.16,251179904,0
13-Sep-15,104.12,106.31,103.59,105.57,161283008,0
20-Sep-15,105.96,108.73,104.85,105.35,185591904,0
27-Sep-15,105.93,106.55,102.27,102.92,187891696,0
4-Oct-15,102.48,104.01,98.75,104.01,233514400,0
11-Oct-15,104.78,106.73,104.18,106.53,177399392,0
18-Oct-15,106.73,108.18,105.49,108.12,139549104,0
25-Oct-15,107.98,113.24,107.48,112.78,173325792,0
1-Nov-15,112.70,114.08,112.27,113.33,151642896,0
8-Nov-15,113.63,115.47,113.39,114.79,126157296,0
15-Nov-15,114.36,114.51,109.78,109.84,175713600,0
22-Nov-15,109.73,114.57,109.48,114.48,146442304,0
29-Nov-15,114.52,114.94,112.84,114.31,70058496,0
6-Dec-15,114.65,115.75,111.84,115.14,158868096,0
13-Dec-15,115.22,115.29,110.72,110.79,191370704,0
20-Dec-15,110.94,114.48,109.38,109.83,245885504,0
27-Dec-15,110.87,112.90,110.05,112.59,90098600,0
3-Jan-16,112.32,114.55,111.51,111.86,96316200,0
10-Jan-16,109.45,110.18,103.90,104.01,262224192,0
17-Jan-16,104.75,106.23,99.51,100.84,336518592,0
24-Jan-16,102.21,103.81,97.25,103.77,247128704,0
31-Jan-16,103.40,104.17,100.15,104.13,231436704,0
7-Feb-16,103.63,104.80,97.72,98.12,259322800,0
14-Feb-16,96.29,98.69,94.84,98.02,350898912,0
21-Feb-16,99.47,102.84,98.85,101.63,149581792,0
28-Feb-16,102.58,104.37,99.77,103.43,154902208,0
6-Mar-16,103.33,106.35,102.50,105.67,151593504,0
13-Mar-16,105.13,106.49,103.31,106.49,161497200,0
20-Mar-16,106.09,107.86,105.95,107.37,150898592,0
27-Mar-16,107.18,108.37,106.53,107.26,76059104,0
3-Apr-16,107.56,110.40,106.73,110.36,115499600,0
10-Apr-16,110.36,110.71,108.61,109.00,113792096,0
17-Apr-16,109.47,111.33,108.02,110.64,118245904,0
24-Apr-16,110.32,111.44,108.12,108.98,136975808,0
1-May-16,108.65,109.39,104.88,105.72,163851008,0
8-May-16,105.99,106.87,104.40,105.58,142404304,0
15-May-16,105.59,107.49,105.14,105.50,111690400,0
22-May-16,105.66,107.21,104.54,106.47,132653200,0
29-May-16,106.59,110.14,106.23,110.13,125368704,0
5-Jun-16,110.28,110.60,109.34,110.06,79904096,0
12-Jun-16,110.26,110.75,108.56,108.94,89792000,0
19-Jun-16,108.32,108.93,106.24,106.49,135637600,0
26-Jun-16,107.73,108.79,104.06,104.29,152818000,0
3-Jul-16,103.60,108.48,101.75,108.08,164043504,0
10-Jul-16,107.51,110.36,106.57,110.30,94366800,0
17-Jul-16,110.67,112.30,110.66,111.80,102102704,0
24-Jul-16,111.87,113.78,111.85,113.65,103537296,0
31-Jul-16,113.56,115.54,113.22,115.23,101163000,0
7-Aug-16,115.31,117.04,114.22,116.78,86311696,0
14-Aug-16,116.84,117.37,116.28,117.20,72671904,0
21-Aug-16,117.35,117.97,116.43,117.26,70698800,0
28-Aug-16,117.09,118.01,116.08,116.78,92389504,0
4-Sep-16,116.81,117.56,115.91,117.12,86230896,0
11-Sep-16,117.32,118.12,114.26,114.28,107010704,0
18-Sep-16,113.64,117.82,113.63,117.29,179849600,1
25-Sep-16,117.59,119.22,116.55,118.33,110676096,0
2-Oct-16,117.66,119.07,117.15,118.72,104187296,0
9-Oct-16,118.57,119.17,117.89,118.47,86908704,0
16-Oct-16,119.08,119.48,115.94,117.14,105863800,0
23-Oct-16,117.04,118.41,116.67,118.15,81002304,0
30-Oct-16,118.91,119.66,116.74,117.10,114417600,-1
6-Nov-16,117.53,117.53,113.45,113.65,132410896,0
13-Nov-16,115.49,118.38,114.20,115.80,231544096,0
20-Nov-16,115.83,118.10,114.03,117.32,121268000,1
27-Nov-16,117.61,119.19,117.57,118.80,69207904,0
4-Dec-16,118.65,119.51,115.22,115.70,135110704,-1
11-Dec-16,116.30,119.54,115.77,119.50,115776896,1
18-Dec-16,118.97,121.11,118.47,119.60,155529408,0
25-Dec-16,119.72,120.83,119.55,120.20,65332300,0
1-Jan-17,120.46,121.52,118.14,118.48,89102304,0
8-Jan-17,119.27,122.25,118.89,121.93,86775296,0
15-Jan-17,122.03,123.37,121.60,123.16,92325104,0
22-Jan-17,122.84,123.83,122.43,123.25,61839900,0
29-Jan-17,123.17,125.92,122.57,125.80,81216496,0
5-Feb-17,125.38,125.81,123.85,125.68,99018304,0
12-Feb-17,125.47,127.56,125.35,127.38,73198704,0
19-Feb-17,127.77,129.82,127.72,129.81,84007104,0
26-Feb-17,130.06,130.70,129.38,130.26,66704000,0
5-Mar-17,130.02,131.68,129.66,131.02,88095200,0
12-Mar-17,130.59,131.60,130.14,131.39,86081000,0
19-Mar-17,131.34,132.41,130.76,131.69,87152200,0
26-Mar-17,131.65,132.43,129.68,130.63,118404304,0
2-Apr-17,129.70,132.74,129.40,132.38,91838096,0
9-Apr-17,132.49,133.48,131.50,131.97,104686800,0
16-Apr-17,132.10,132.57,130.38,130.40,89035904,0
23-Apr-17,130.77,132.88,130.72,132.56,88364200,0
30-Apr-17,134.03,136.34,133.80,135.99,106161200,0
7-May-17,136.44,137.54,136.38,137.54,100949000,0
14-May-17,137.61,138.63,137.33,138.60,109176096,0
21-May-17,138.66,139.64,135.87,137.84,175959504,0
28-May-17,138.15,141.33,138.10,141.22,92869296,0
4-Jun-17,141.15,143.49,140.57,143.46,110879400,0
11-Jun-17,143.45,143.90,138.11,139.98,192164000,0
18-Jun-17,138.80,140.93,137.47,138.15,318973408,-1
25-Jun-17,139.49,141.42,139.28,141.24,162058400,0
2-Jul-17,142.05,142.29,136.25,137.64,315463808,0
9-Jul-17,138.27,138.43,135.80,137.76,160314496,0
16-Jul-17,137.85,142.30,137.50,142.12,158035392,1
23-Jul-17,142.27,144.44,141.64,144.11,160680496,0
30-Jul-17,144.09,145.96,142.30,143.84,192123296,0
6-Aug-17,144.25,144.52,142.61,143.65,152353408,0
13-Aug-17,143.91,145.47,140.89,142.10,194108000,0
20-Aug-17,143.23,144.96,140.65,141.23,222526096,-1
27-Aug-17,141.22,143.35,140.18,141.97,163649200,0
3-Sep-17,142.40,146.59,141.06,146.00,134277408,0
10-Sep-17,145.57,145.88,143.60,144.21,126128200,0
17-Sep-17,145.34,146.59,145.29,146.06,167552704,0
24-Sep-17,145.91,146.37,143.85,144.32,130509800,0
1-Oct-17,143.75,145.56,142.10,145.45,185077696,1
8-Oct-17,145.67,147.66,144.93,147.66,128571104,0
15-Oct-17,147.85,148.51,146.95,148.34,78290400,0
22-Oct-17,148.71,149.21,147.27,148.71,110019400,0
29-Oct-17,149.02,151.52,146.33,151.24,174160992,0
5-Nov-17,151.13,153.29,150.77,153.27,144750896,0
12-Nov-17,153.15,154.54,152.11,153.68,128145800,0
19-Nov-17,153.10,154.89,151.78,153.95,126020600,0
26-Nov-17,154.06,156.31,153.61,156.26,66871300,0
3-Dec-17,156.21,156.69,152.26,154.49,235478304,0
10-Dec-17,155.46,155.63,152.06,154.70,181319008,0
17-Dec-17,154.77,157.82,154.76,157.65,139961200,0
24-Dec-17,158.36,158.77,156.91,157.37,139201200,0
31-Dec-17,156.49,157.07,155.70,155.76,102886704,0
7-Jan-18,156.56,162.03,156.17,161.92,113725296,0
14-Jan-18,161.92,164.66,161.12,164.49,140181696,0
21-Jan-18,165.58,166.61,163.53,166.34,140451504,0
28-Jan-18,166.28,170.95,166.09,170.93,179321696,0
4-Feb-18,170.57,170.91,164.47,164.61,231230704,0
11-Feb-18,163.07,165.75,150.13,156.10,522959808,-1
18-Feb-18,157.70,166.76,156.46,164.96,260833792,0
25-Feb-18,164.38,168.17,164.31,168.17,165118704,0
4-Mar-18,168.96,170.73,161.96,165.99,258667904,0
11-Mar-18,165.21,173.16,164.59,173.16,166769408,0
18-Mar-18,173.67,175.21,170.90,171.02,193797408,0
25-Mar-18,169.10,169.22,158.43,158.51,296052000,0
1-Apr-18,161.72,165.62,156.04,160.13,294432896,0
8-Apr-18,158.99,161.58,153.88,156.63,318333888,0
15-Apr-18,157.98,163.26,157.46,161.37,206802096,0
22-Apr-18,162.50,167.00,161.48,162.30,177193600,0
29-Apr-18,163.09,164.41,156.47,162.09,249435600,0
6-May-18,162.47,165.25,159.22,164.87,212655904,0
13-May-18,165.64,169.86,164.86,169.46,139419504,0
20-May-18,169.85,170.82,166.98,167.46,147822592,0
27-May-18,168.76,170.33,166.88,169.72,124147104,0
3-Jun-18,168.95,172.84,167.96,172.74,145100496,0
10-Jun-18,173.18,175.93,173.07,174.44,141656096,0
17-Jun-18,174.31,177.89,174.28,176.98,168221792,0
24-Jun-18,175.49,177.98,173.71,175.32,176449792,0
1-Jul-18,173.73,173.99,169.17,171.65,252467504,0
8-Jul-18,170.04,175.74,169.67,175.61,125914496,0
15-Jul-18,176.52,179.90,175.80,179.61,137525104,0
22-Jul-18,179.65,180.65,177.28,178.99,142651600,0
29-Jul-18,178.46,182.93,176.60,177.62,194441200,0
5-Aug-18,177.63,180.09,174.27,180.08,220692608,1
12-Aug-18,179.96,182.63,179.74,180.52,130056600,0
19-Aug-18,180.85,182.01,178.12,179.86,169334592,0
26-Aug-18,180.26,182.63,179.00,182.48,118152400,0
2-Sep-18,183.40,187.52,183.11,186.65,136764896,0
9-Sep-18,186.08,186.40,180.44,181.11,164407696,0
16-Sep-18,182.15,184.95,180.52,183.99,154809792,0
23-Sep-18,183.68,185.48,181.17,183.71,168693104,0
30-Sep-18,182.05,186.49,181.30,185.79,157623808,0
7-Oct-18,186.87,187.53,178.43,180.15,246001504,-1
14-Oct-18,179.52,181.02,167.81,174.32,475596416,0
21-Oct-18,173.71,178.26,171.56,173.02,369262496,0
28-Oct-18,174.06,175.25,164.23,166.66,447925696,0
4-Nov-18,169.21,172.55,160.09,169.38,406958112,0
11-Nov-18,169.60,175.58,167.08,171.52,216052704,0
18-Nov-18,170.32,170.64,163.46,167.50,340622208,0
25-Nov-18,166.70,166.90,157.13,159.21,236402800,0
2-Dec-18,161.44,169.47,160.76,169.37,230370208,0
9-Dec-18,173.11,173.31,160.86,161.38,273514112,0
16-Dec-18,161.08,167.60,159.41,161.08,289724992,0
23-Dec-18,160.39,161.67,146.72,147.57,460464192,0
30-Dec-18,146.08,155.59,143.46,152.97,318826304,0
6-Jan-19,154.47,157.00,149.49,156.23,261121504,0
13-Jan-19,156.62,161.52,156.11,160.69,217059696,0
20-Jan-19,159.33,166.02,158.59,165.25,201908800,0
27-Jan-19,164.06,165.65,160.32,165.15,163751504,0
3-Feb-19,163.02,168.99,160.99,167.45,175024000,0
10-Feb-19,167.48,171.37,166.57,168.56,153902096,0
17-Feb-19,169.17,172.56,167.98,171.94,140098800,0
24-Feb-19,171.41,173.08,170.71,172.89,105023504,0
3-Mar-19,174.21,174.66,171.76,174.39,136227200,0
10-Mar-19,175.54,175.79,169.34,171.17,166288608,0
17-Mar-19,171.88,178.88,171.85,178.35,168841504,0
24-Mar-19,177.95,182.83,177.59,178.56,233156400,1
31-Mar-19,177.91,180.69,176.60,179.66,182255008,0
7-Apr-19,181.51,184.92,180.77,184.66,139453696,0
14-Apr-19,184.36,185.95,183.63,185.83,118535600,0
21-Apr-19,185.84,187.93,184.62,187.39,106501200,0
28-Apr-19,186.57,191.22,186.43,190.65,132455696,0
5-May-19,190.65,191.32,186.87,191.11,162504896,0
12-May-19,187.05,190.20,181.03,185.00,248233296,0
19-May-19,180.29,186.07,178.06,183.04,235474400,-1
26-May-19,180.49,182.33,177.14,178.16,165809296,0
2-Jun-19,178.66,179.66,173.87,173.95,142743600,0
9-Jun-19,173.48,181.77,169.27,181.04,233854304,0
16-Jun-19,182.25,185.40,181.94,182.64,156963600,0
23-Jun-19,183.04,189.77,182.84,188.57,181132096,1
30-Jun-19,188.53,188.72,184.65,186.74,116780400,0
7-Jul-19,190.32,191.44,188.38,191.05,86269104,0
14-Jul-19,189.81,193.54,188.65,193.53,109114800,0
21-Jul-19,193.98,194.19,190.69,191.01,110827000,0
28-Jul-19,191.44,195.55,191.44,195.29,107030400,0
4-Aug-19,195.11,195.18,186.21,187.35,199249792,0
11-Aug-19,183.43,188.32,179.20,186.49,238954800,-1
18-Aug-19,185.34,189.68,181.16,185.48,185351696,0
25-Aug-19,188.16,189.46,181.56,182.07,142431600,0
1-Sep-19,184.14,188.97,182.91,187.47,129082800,0
8-Sep-19,186.22,192.33,185.03,191.59,102976704,0
15-Sep-19,192.19,194.71,188.91,192.54,129575600,0
22-Sep-19,191.30,194.04,190.11,190.80,126179200,0
29-Sep-19,190.36,191.79,185.75,187.03,165611008,0
6-Oct-19,187.79,190.59,181.82,188.81,178499696,0
13-Oct-19,188.27,192.63,185.27,191.11,139897104,0
20-Oct-19,190.84,194.50,190.65,191.69,105412304,0
27-Oct-19,192.71,195.74,191.15,195.64,93527504,0
3-Nov-19,196.55,198.88,195.29,198.87,108086400,0
10-Nov-19,200.19,201.72,198.79,201.23,86881504,0
17-Nov-19,200.21,202.91,199.94,202.91,76073800,0
24-Nov-19,202.59,203.84,200.62,201.83,106991400,0
1-Dec-19,202.70,206.05,202.67,205.10,59351100,0
8-Dec-19,205.11,205.18,199.23,205.00,105928800,0
15-Dec-19,204.63,207.91,203.44,207.19,119696096,0
22-Dec-19,208.55,212.52,208.48,211.71,98274496,0
29-Dec-19,212.00,214.56,211.44,213.61,66065300,0
5-Jan-20,213.50,216.16,211.16,214.18,98474704,0
12-Jan-20,212.50,219.87,212.24,218.43,115637400,1
19-Jan-20,219.33,223.56,218.98,223.38,116047296,0
26-Jan-20,222.76,225.88,221.67,222.70,105782400,0
2-Feb-20,217.67,223.56,217.18,219.07,189343392,0
9-Feb-20,220.14,230.44,219.99,229.20,143046304,0
16-Feb-20,228.44,234.93,228.38,234.64,122359904,0
23-Feb-20,233.50,237.47,229.32,230.27,155246208,0
1-Mar-20,221.68,224.25,198.17,205.80,532872992,-1
8-Mar-20,208.88,219.61,202.91,208.02,486507488,0
15-Mar-20,193.48,204.30,176.94,192.34,578894720,0
22-Mar-20,174.15,184.68,166.80,170.70,567348224,0
29-Mar-20,170.92,192.72,164.93,185.30,447009088,0
5-Apr-20,187.10,195.25,180.86,183.37,269684512,0
12-Apr-20,190.48,203.22,189.19,200.86,248932304,0
19-Apr-20,200.00,216.51,198.75,215.29,281370112,1
26-Apr-20,213.36,215.88,203.63,213.84,228952608,0
3-May-20,216.19,220.04,211.21,212.74,223781408,0
10-May-20,211.46,225.00,211.12,224.86,177668496,0
17-May-20,223.49,228.10,215.99,223.27,249585904,0
24-May-20,226.33,232.14,225.47,229.66,188657200,0
31-May-20,233.36,233.60,223.94,233.36,182383808,0
7-Jun-20,232.46,240.30,232.00,239.69,182469792,0
14-Jun-20,239.54,247.82,231.74,235.88,271022208,0
21-Jun-20,232.44,247.00,231.47,244.24,208947504,0
28-Jun-20,243.68,251.15,239.68,240.22,192633904,0
5-Jul-20,239.97,254.27,237.35,252.19,139932704,0
12-Jul-20,255.45,264.23,255.43,263.97,174791696,0
19-Jul-20,266.91,269.79,252.76,259.42,273594496,0
26-Jul-20,260.08,268.41,251.32,255.56,219281104,0
2-Aug-20,257.36,259.79,256.45,259.73,23039972,0
