Date,Open,High,Low,Close,Volume,BuySell
24-May-20,20.11,20.20,18.59,18.74,408100,0
31-May-20,19.21,19.30,18.38,19.16,618300,0
7-Jun-20,19.58,21.25,19.52,21.15,869100,0
14-Jun-20,21.00,21.47,20.20,20.79,687100,0
21-Jun-20,20.35,21.99,20.35,21.68,542600,0
28-Jun-20,22.05,22.69,21.97,22.25,469000,0
5-Jul-20,22.23,25.18,22.14,25.05,904300,0
12-Jul-20,29.76,31.92,29.41,30.38,3306800,0
19-Jul-20,31.79,32.08,27.47,28.07,3057900,0
26-Jul-20,29.51,29.73,27.01,27.53,2481000,0
2-Aug-20,27.62,29.28,27.38,29.08,1250600,0
9-Aug-20,30.45,31.27,29.50,29.85,1421300,0
16-Aug-20,30.12,30.27,29.06,29.77,1063800,0
23-Aug-20,31.38,31.72,29.72,30.33,1156100,0
30-Aug-20,30.99,32.67,30.33,32.63,897700,0
6-Sep-20,32.00,32.93,31.14,31.82,1051800,0
13-Sep-20,30.24,30.49,28.71,29.66,829200,0
20-Sep-20,30.10,32.00,30.06,31.76,678600,0
27-Sep-20,30.92,31.57,28.62,29.31,542800,0
4-Oct-20,29.67,31.22,29.49,30.48,548200,0
11-Oct-20,30.70,32.55,30.70,32.47,481400,0
18-Oct-20,33.67,34.09,33.01,33.73,614900,0
25-Oct-20,33.30,34.35,33.02,33.39,628400,0
1-Nov-20,32.24,33.47,31.84,32.68,496400,0
8-Nov-20,33.19,37.21,32.85,36.46,630200,0
15-Nov-20,38.82,38.82,35.21,35.89,801500,0
22-Nov-20,36.83,37.60,36.47,37.52,591600,0
29-Nov-20,38.31,38.44,36.55,38.06,461600,0
6-Dec-20,37.84,39.87,37.30,39.87,700600,0
13-Dec-20,38.99,39.46,36.33,36.35,700900,0
20-Dec-20,37.53,38.94,37.23,38.57,349000,0
27-Dec-20,38.00,38.71,37.65,38.41,288800,0
3-Jan-21,39.20,42.07,39.11,41.87,393100,0
10-Jan-21,43.78,48.42,42.84,47.42,1022600,1
17-Jan-21,46.11,49.69,45.95,46.26,1076700,0
24-Jan-21,46.43,48.67,46.10,47.81,665400,0
31-Jan-21,48.58,48.90,44.34,44.57,899200,-1
7-Feb-21,45.39,47.63,45.32,47.34,474500,0
14-Feb-21,48.63,54.93,48.63,54.48,1005700,1
21-Feb-21,55.84,56.27,51.93,53.00,714000,0
28-Feb-21,49.28,49.49,44.25,44.49,1157600,-1
7-Mar-21,45.82,46.79,41.62,42.22,1305200,0
14-Mar-21,39.21,41.82,38.65,40.86,1402000,0
21-Mar-21,39.61,40.83,38.42,39.03,729700,0
28-Mar-21,39.49,39.62,36.57,39.23,547500,0
4-Apr-21,38.51,40.10,38.26,39.93,341500,0
11-Apr-21,40.59,40.84,38.48,38.68,354800,0
18-Apr-21,37.58,38.26,37.18,38.09,342700,0
25-Apr-21,39.45,41.59,39.14,41.42,434700,0
2-May-21,40.08,42.06,40.01,41.16,395500,0
9-May-21,40.62,40.98,39.45,40.08,297400,0
16-May-21,40.21,42.01,39.23,41.90,472700,0
23-May-21,42.42,43.48,41.86,41.99,524800,0
30-May-21,42.57,46.96,42.57,46.81,483300,0
6-Jun-21,46.92,46.92,44.57,45.75,352400,0
13-Jun-21,45.60,45.64,43.80,44.07,317900,0
20-Jun-21,43.89,43.94,40.74,41.02,541200,0
27-Jun-21,41.15,44.02,41.06,43.74,276300,0
4-Jul-21,43.95,44.00,41.05,41.34,325900,0
11-Jul-21,41.38,42.67,40.29,42.06,328700,0
18-Jul-21,42.41,42.81,41.46,41.65,278200,0
25-Jul-21,41.55,43.00,40.96,41.35,198000,0
1-Aug-21,37.92,38.46,33.90,37.32,978600,0
8-Aug-21,38.77,39.40,38.23,38.34,303300,0
15-Aug-21,39.52,40.38,38.98,39.32,132800,0
22-Aug-21,39.15,39.18,36.22,36.82,278500,0
29-Aug-21,37.65,39.20,37.27,38.16,217700,0
5-Sep-21,37.58,38.93,37.29,38.42,263100,0
12-Sep-21,40.12,41.48,39.78,40.91,318400,0
19-Sep-21,40.64,40.87,37.24,37.69,363600,0
26-Sep-21,35.64,37.99,35.11,37.52,327900,0
3-Oct-21,38.35,38.50,36.81,37.44,191300,0
