Date,Open,High,Low,Close,Volume,BuySell
8-Nov-20,45.01,45.34,42.41,42.68,7085000,0
15-Nov-20,40.34,41.72,40.24,40.88,8254100,0
22-Nov-20,40.30,41.18,40.23,41.13,3613700,0
29-Nov-20,40.90,40.99,39.94,40.21,2915100,0
6-Dec-20,40.42,40.78,39.74,39.74,4442000,0
13-Dec-20,39.82,40.24,39.59,39.95,3655800,0
20-Dec-20,39.65,40.19,39.56,39.75,3062800,0
27-Dec-20,40.14,40.30,39.59,39.70,3211400,0
3-Jan-21,39.47,39.61,39.15,39.20,2789400,0
10-Jan-21,39.10,40.10,38.40,38.51,5076500,0
17-Jan-21,38.84,39.11,38.36,38.86,3132200,0
24-Jan-21,38.58,38.78,38.28,38.61,2305900,0
31-Jan-21,38.73,40.03,38.47,39.87,7438600,0
7-Feb-21,39.56,39.82,38.23,38.37,3966400,0
14-Feb-21,38.21,38.26,37.84,37.92,3155300,0
21-Feb-21,37.77,38.11,37.68,37.86,2593300,0
28-Feb-21,38.10,38.53,37.24,38.48,7894500,0
7-Mar-21,37.99,38.92,37.56,37.76,8017600,0
14-Mar-21,37.56,37.66,36.20,36.22,6925800,0
21-Mar-21,36.12,36.50,35.72,36.38,4856600,0
28-Mar-21,36.43,36.99,35.84,35.86,5217200,-1
4-Apr-21,36.00,36.05,35.67,35.76,3356400,0
11-Apr-21,35.49,35.54,35.05,35.08,2683400,0
18-Apr-21,35.12,35.32,34.59,34.63,2596500,0
25-Apr-21,34.72,35.15,34.65,34.77,2812800,0
2-May-21,34.71,35.07,34.67,34.91,2745300,0
9-May-21,34.72,35.05,33.97,34.00,4840100,0
16-May-21,33.87,35.21,33.69,34.32,7927700,0
23-May-21,34.43,35.23,34.27,34.47,3856800,0
30-May-21,34.33,34.41,34.03,34.10,2409700,0
6-Jun-21,33.83,34.29,33.81,33.87,2266100,0
13-Jun-21,33.81,34.30,33.81,34.14,2257800,0
20-Jun-21,34.16,35.34,34.16,35.34,2866800,0
27-Jun-21,35.08,35.16,34.06,34.10,2400800,0
4-Jul-21,34.11,34.37,33.74,33.75,2359100,0
11-Jul-21,33.78,34.38,33.64,33.67,2867300,0
18-Jul-21,33.73,33.87,33.45,33.85,2629200,0
25-Jul-21,34.33,34.76,33.40,33.43,3805600,0
1-Aug-21,33.49,33.61,33.32,33.54,2908400,0
8-Aug-21,33.44,33.76,33.24,33.28,2008400,0
15-Aug-21,33.32,33.42,32.87,32.95,1568000,0
22-Aug-21,33.05,33.72,32.84,33.28,2372200,0
29-Aug-21,33.10,33.19,32.92,32.94,1900000,0
5-Sep-21,32.93,33.08,32.89,32.98,1273900,0
12-Sep-21,33.03,33.70,33.03,33.69,2013100,0
19-Sep-21,33.48,33.77,33.31,33.70,3095000,1
26-Sep-21,34.22,34.64,33.39,33.46,4991200,0
3-Oct-21,33.43,34.45,33.21,33.88,4084900,0
10-Oct-21,33.93,34.39,33.24,33.45,4361700,0
17-Oct-21,33.44,34.08,32.89,32.91,4173300,-1
24-Oct-21,33.04,33.16,32.47,32.54,3215100,0
31-Oct-21,32.48,32.72,32.35,32.40,2703400,0
7-Nov-21,32.30,32.42,31.80,31.94,2183200,0
14-Nov-21,31.79,32.29,31.74,32.11,2300700,0
21-Nov-21,32.00,32.58,31.92,32.54,1921000,0
28-Nov-21,32.38,33.29,32.23,33.13,1906200,0
5-Dec-21,32.79,33.96,32.79,33.36,4703400,1
12-Dec-21,33.08,33.12,32.04,32.04,4419100,-1
19-Dec-21,32.11,32.65,31.84,32.57,5364900,0
26-Dec-21,32.97,33.22,31.93,32.02,5464000,0
2-Jan-22,31.94,31.99,31.37,31.67,2914300,0
9-Jan-22,31.56,31.84,31.14,31.74,4581600,0
16-Jan-22,31.85,32.26,31.49,32.01,6340600,0
23-Jan-22,32.35,33.54,32.32,33.53,6939700,1
30-Jan-22,33.91,34.60,32.97,33.04,21187200,0
6-Feb-22,33.18,33.27,32.16,32.69,9078400,0
13-Feb-22,32.63,33.06,32.00,32.96,7810800,0
20-Feb-22,33.04,33.64,32.63,33.53,8097000,0
27-Feb-22,33.74,35.37,33.47,33.52,14937200,0
6-Mar-22,33.98,34.42,33.34,33.91,11677300,0
13-Mar-22,34.03,34.95,33.92,34.52,14490800,0
20-Mar-22,34.33,34.63,33.33,33.34,6609108,0
