Date,Open,High,Low,Close,Volume,BuySell
29-Aug-21,33.10,33.19,32.92,32.94,1900000,0
5-Sep-21,32.93,33.08,32.89,32.98,1273900,0
12-Sep-21,33.03,33.70,33.03,33.69,2013800,0
19-Sep-21,33.48,33.77,33.31,33.70,3095000,0
26-Sep-21,34.22,34.64,33.39,33.46,4991200,0
3-Oct-21,33.43,34.45,33.21,33.88,4084900,0
10-Oct-21,33.93,34.39,33.24,33.45,4361700,0
17-Oct-21,33.44,34.08,32.89,32.91,4173300,0
24-Oct-21,33.04,33.16,32.47,32.54,3215100,0
31-Oct-21,32.48,32.72,32.35,32.40,2703400,0
7-Nov-21,32.30,32.42,31.80,31.94,2184300,0
14-Nov-21,31.79,32.29,31.74,32.11,2300700,0
21-Nov-21,32.00,32.58,31.92,32.54,1921000,0
28-Nov-21,32.38,33.29,32.23,33.13,1906200,0
5-Dec-21,32.79,33.96,32.79,33.36,4703400,0
12-Dec-21,33.08,33.12,32.04,32.04,4419100,0
19-Dec-21,32.11,32.65,31.84,32.57,5364900,0
26-Dec-21,32.97,33.22,31.93,32.02,5464000,0
2-Jan-22,31.94,31.99,31.37,31.67,2914300,0
9-Jan-22,31.56,31.84,31.14,31.74,4581900,0
16-Jan-22,31.85,32.26,31.49,32.01,6340600,0
23-Jan-22,32.35,33.54,32.32,33.53,6939700,1
30-Jan-22,33.91,34.60,32.97,33.04,21187200,0
6-Feb-22,33.18,33.27,32.16,32.69,9078700,0
13-Feb-22,32.63,33.06,32.00,32.96,7811200,0
20-Feb-22,33.04,33.64,32.63,33.53,8097000,0
27-Feb-22,33.74,35.37,33.47,33.52,14937200,0
6-Mar-22,33.98,34.42,33.34,33.91,11678500,0
13-Mar-22,34.03,34.95,33.92,34.52,14491400,0
20-Mar-22,34.33,34.63,32.67,32.69,10385000,-1
27-Mar-22,32.73,33.06,32.48,32.55,5671300,0
3-Apr-22,32.60,32.85,32.07,32.58,6054300,0
10-Apr-22,32.61,33.15,32.31,32.65,5874700,0
17-Apr-22,32.81,33.23,32.49,32.90,5441900,0
24-Apr-22,32.98,33.50,31.92,33.46,9373100,1
1-May-22,33.62,34.32,33.17,34.27,13771100,0
8-May-22,34.20,34.80,33.08,34.26,20297400,0
15-May-22,34.70,36.06,34.40,34.97,13221100,0
22-May-22,35.05,36.65,34.43,35.94,13172100,0
29-May-22,35.62,35.78,33.78,33.79,7713100,0
5-Jun-22,33.98,34.47,33.69,34.05,5424600,0
12-Jun-22,33.82,35.65,33.70,35.64,4919600,0
19-Jun-22,36.41,37.64,36.01,37.36,8214600,0
26-Jun-22,36.83,37.01,35.39,35.39,4661000,0
3-Jul-22,35.35,36.64,34.98,35.88,5798600,0
10-Jul-22,36.36,36.71,35.39,35.59,3193800,0
17-Jul-22,35.79,36.97,35.56,35.63,3893100,0
24-Jul-22,35.29,35.97,34.58,34.92,4461700,0
31-Jul-22,34.82,35.13,33.85,33.91,3180200,0
7-Aug-22,34.08,34.40,33.79,33.98,2657900,0
14-Aug-22,33.79,34.07,32.99,33.00,2711200,0
21-Aug-22,33.17,33.17,32.49,33.03,3151900,0
28-Aug-22,33.41,34.46,33.36,34.45,3775500,0
4-Sep-22,34.70,35.63,34.40,35.46,7985900,0
11-Sep-22,35.39,35.78,34.47,34.53,5503300,0
18-Sep-22,34.42,36.31,34.17,36.01,5800600,0
25-Sep-22,36.31,37.90,35.75,37.48,6061200,0
2-Oct-22,37.65,38.62,37.19,38.62,6965900,0
9-Oct-22,38.17,38.31,36.38,37.81,7071700,0
16-Oct-22,37.64,38.66,36.39,37.30,5782200,0
23-Oct-22,36.81,36.91,35.55,35.60,4588700,0
30-Oct-22,35.39,35.51,33.64,33.68,5111800,-1
6-Nov-22,33.84,34.88,33.46,34.15,5889800,0
13-Nov-22,34.06,34.15,32.70,32.76,5443500,0
20-Nov-22,32.85,33.27,32.53,32.75,4666000,0
27-Nov-22,32.75,32.93,32.18,32.21,2141600,0
4-Dec-22,32.39,32.91,31.91,32.11,5119100,0
11-Dec-22,32.33,33.08,32.26,33.04,3313900,0
18-Dec-22,32.99,33.87,31.79,33.63,5829500,1
25-Dec-22,33.62,33.96,33.09,33.24,4678800,0
1-Jan-23,33.20,33.62,33.05,33.33,2728000,0
8-Jan-23,33.21,33.62,33.08,33.34,635622,0
