Date,Open,High,Low,Close,Volume,BuySell
8-Jan-16,3536.59,3538.69,3056.88,3186.41,1047197120,0
15-Jan-16,3131.85,3166.22,2867.55,2900.97,1085212800,0
22-Jan-16,2847.54,3016.28,2844.70,2916.56,937971264,0
29-Jan-16,2934.08,2955.78,2638.30,2737.60,937390528,0
5-Feb-16,2730.98,2793.30,2655.62,2763.49,774427456,0
19-Feb-16,2684.96,2893.21,2682.09,2860.02,924730752,0
26-Feb-16,2888.60,2933.96,2715.87,2767.21,1106721920,0
4-Mar-16,2754.81,2880.37,2638.96,2874.15,1265553280,0
11-Mar-16,2886.64,2911.84,2772.55,2810.31,900531904,0
18-Mar-16,2830.08,2971.55,2819.79,2955.15,1058318208,0
25-Mar-16,2978.46,3028.32,2952.11,2979.43,1251836032,0
1-Apr-16,2988.01,3023.41,2905.25,3009.53,1022317376,0
8-Apr-16,3000.94,3062.36,2960.46,2984.96,897816512,0
15-Apr-16,3006.91,3097.16,3001.32,3078.12,1110591104,0
22-Apr-16,3058.46,3058.46,2905.05,2959.24,949600448,0
29-Apr-16,2949.97,2976.02,2916.37,2938.32,622409408,0
6-May-16,2940.39,3004.42,2913.04,2913.25,685738624,0
13-May-16,2896.16,2896.16,2781.24,2827.11,687660480,0
20-May-16,2816.78,2860.32,2781.42,2825.48,598806464,0
27-May-16,2826.31,2848.07,2780.76,2821.05,560062784,0
3-Jun-16,2814.65,2945.52,2794.66,2938.68,841704320,0
8-Jun-16,2940.99,2945.94,2908.37,2927.16,418027680,0
17-Jun-16,2897.27,2911.16,2811.78,2885.10,801037056,0
24-Jun-16,2887.64,2919.30,2807.60,2854.29,758500544,0
1-Jul-16,2840.56,2944.99,2840.28,2932.48,819495232,0
8-Jul-16,2924.29,3024.11,2922.52,2988.09,1061261056,1
15-Jul-16,2993.75,3069.05,2984.42,3054.30,1090545152,0
22-Jul-16,3047.64,3058.32,3007.46,3012.82,796878400,0
29-Jul-16,3008.09,3057.42,2939.23,2979.34,921728512,0
5-Aug-16,2971.95,2991.68,2931.96,2976.70,679808384,0
12-Aug-16,2972.62,3051.05,2959.05,3050.67,820453568,0
19-Aug-16,3056.48,3140.44,3053.87,3108.10,1213491584,0
26-Aug-16,3107.38,3112.74,3041.51,3070.31,816161216,0
2-Sep-16,3068.46,3088.70,3050.49,3067.35,731941440,0
9-Sep-16,3070.71,3105.68,3053.19,3078.85,811405312,0
14-Sep-16,3037.51,3040.95,2995.42,3002.85,474813056,0
23-Sep-16,3005.32,3054.44,3005.32,3033.90,618770880,0
30-Sep-16,3028.24,3028.24,2969.13,3004.70,585204928,0
14-Oct-16,3020.46,3066.10,3014.62,3063.81,779948608,0
21-Oct-16,3064.69,3101.85,3033.75,3090.94,876325312,0
