Date,Open,High,Low,Close,Volume,BuySell
21-Apr-19,204.95,220.60,193.90,197.20,7316195,0
28-Apr-19,200.70,216.40,186.70,192.20,8284708,0
5-May-19,193.80,227.57,191.10,192.90,9921727,0
12-May-19,230.55,318.60,210.20,231.60,24477366,0
19-May-19,287.40,299.80,218.50,229.90,17086816,0
26-May-19,241.40,249.70,206.00,225.40,13953620,0
2-Jun-19,222.50,263.90,216.20,257.50,12485206,0
9-Jun-19,255.70,272.80,213.35,220.10,11991464,0
16-Jun-19,214.00,224.30,208.50,209.50,7908211,0
23-Jun-19,208.50,209.90,180.00,197.60,8806434,0
30-Jun-19,194.60,204.90,187.15,188.60,6792111,0
7-Jul-19,171.00,175.30,153.70,155.80,7548211,0
14-Jul-19,162.50,171.60,145.00,145.30,8031242,0
21-Jul-19,144.40,155.00,138.60,150.00,30356772,0
28-Jul-19,149.30,151.70,127.00,129.30,10068171,0
4-Aug-19,129.10,190.10,128.90,176.50,21928418,0
11-Aug-19,201.80,234.30,174.40,188.10,26500978,0
18-Aug-19,194.80,241.10,182.50,197.90,24716976,0
25-Aug-19,181.00,211.00,157.70,204.00,22910740,1
1-Sep-19,186.60,217.00,171.50,179.20,20952424,-1
8-Sep-19,191.10,197.70,149.50,150.30,14631539,0
15-Sep-19,145.50,155.70,129.24,132.00,16068910,0
22-Sep-19,137.20,138.70,118.10,131.00,16059469,0
29-Sep-19,133.20,151.19,123.90,143.10,23597964,0
6-Oct-19,141.20,174.00,129.22,137.70,28059212,0
13-Oct-19,142.20,161.60,121.80,125.30,24441588,0
20-Oct-19,126.60,126.80,104.80,106.90,17416560,0
27-Oct-19,104.50,105.60,92.50,92.80,13455523,0
3-Nov-19,91.30,98.50,84.10,84.30,16542497,0
10-Nov-19,81.90,90.80,81.50,81.90,14678633,0
17-Nov-19,85.40,85.40,71.10,71.20,16407558,0
24-Nov-19,71.50,78.90,69.60,69.60,20830416,0
1-Dec-19,66.60,66.60,59.60,62.50,11976068,0
8-Dec-19,62.20,81.80,62.08,63.65,36911792,0
15-Dec-19,64.12,73.09,54.52,54.76,32594692,0
22-Dec-19,51.54,52.65,49.24,50.61,23694572,0
29-Dec-19,50.57,53.21,49.43,52.17,10375536,0
5-Jan-20,52.97,57.73,47.25,51.88,31803014,0
12-Jan-20,54.98,55.25,43.51,44.50,41780776,0
19-Jan-20,43.50,44.21,39.04,39.36,31188140,0
26-Jan-20,40.44,46.38,38.36,44.75,48576752,0
2-Feb-20,52.35,59.42,45.38,56.58,82553400,1
9-Feb-20,53.68,55.16,42.01,43.65,55421100,-1
16-Feb-20,44.89,44.89,38.33,39.14,50300304,0
23-Feb-20,40.28,49.30,38.45,46.80,62980196,0
1-Mar-20,60.91,123.92,55.95,104.50,137511984,1
8-Mar-20,99.97,201.56,89.01,169.90,104660880,0
15-Mar-20,299.00,437.47,199.74,335.40,68531760,0
22-Mar-20,516.85,1000.00,440.00,607.56,40346824,0
29-Mar-20,538.93,580.00,225.51,376.00,24789908,-1
5-Apr-20,374.05,402.28,292.48,299.01,16718076,0
12-Apr-20,255.73,274.90,239.05,249.00,10085037,0
19-Apr-20,246.00,257.12,194.67,213.93,12679976,0
26-Apr-20,236.06,317.48,224.81,237.45,18908786,0
3-May-20,223.79,235.90,175.00,227.34,24581160,0
10-May-20,242.19,247.90,165.44,165.52,19381280,0
17-May-20,173.73,238.34,131.79,176.09,50813864,0
24-May-20,152.35,171.00,146.62,151.27,39332192,0
31-May-20,137.98,159.75,137.33,141.99,32696184,0
7-Jun-20,148.00,149.00,106.32,108.50,41272608,0
14-Jun-20,108.70,234.00,107.64,169.56,94667384,1
21-Jun-20,200.93,212.98,140.11,155.83,86073608,-1
28-Jun-20,158.50,163.61,125.00,152.67,54335408,0
5-Jul-20,148.20,157.88,103.89,112.36,18005436,0
12-Jul-20,112.36,112.36,112.36,112.36,0,0
19-Jul-20,112.36,112.36,112.36,112.36,0,0
26-Jul-20,112.36,112.36,87.21,96.00,475831,0
2-Aug-20,93.33,101.90,84.25,85.88,881299,0
9-Aug-20,84.40,86.96,72.62,74.20,577065,0
16-Aug-20,71.52,76.96,64.80,67.81,503973,0
23-Aug-20,64.82,69.47,59.90,62.77,371550,0
