Date,Open,High,Low,Close,Volume,BuySell
10-Mar-19,30.23,32.33,30.03,32.05,301300,0
17-Mar-19,31.27,31.37,30.52,30.64,219100,0
24-Mar-19,29.85,30.23,29.36,30.19,163200,0
31-Mar-19,30.53,30.79,29.29,29.57,201400,0
7-Apr-19,28.48,28.73,27.52,27.56,237600,0
14-Apr-19,27.84,28.73,27.73,28.00,240600,0
21-Apr-19,28.60,28.74,27.61,27.82,154300,0
28-Apr-19,28.35,29.42,28.18,29.08,249000,0
5-May-19,29.12,29.57,28.84,28.98,128100,0
12-May-19,30.97,32.59,30.27,31.18,625800,0
19-May-19,32.32,32.81,30.88,32.25,454900,0
26-May-19,32.70,32.75,31.85,32.60,302000,0
2-Jun-19,31.92,32.28,31.72,32.12,181000,0
9-Jun-19,31.92,32.43,31.69,32.04,234600,0
16-Jun-19,31.95,32.01,30.90,31.77,92700,0
23-Jun-19,31.58,31.60,29.56,29.88,149400,0
30-Jun-19,29.78,30.20,29.62,29.74,110800,0
7-Jul-19,28.72,29.82,28.62,29.73,57600,0
14-Jul-19,30.14,30.30,29.84,30.11,200600,0
21-Jul-19,29.93,30.32,29.84,30.09,121000,0
28-Jul-19,30.20,30.30,29.54,29.61,57200,0
4-Aug-19,29.61,31.34,29.58,31.32,121400,0
11-Aug-19,32.11,32.83,31.59,32.20,351200,1
18-Aug-19,32.10,32.19,30.81,31.14,187200,-1
25-Aug-19,30.67,31.34,30.38,31.23,116400,0
1-Sep-19,30.99,31.22,30.55,30.79,100700,0
8-Sep-19,30.73,30.74,29.30,29.42,88400,0
15-Sep-19,29.32,29.62,28.81,28.91,69200,0
22-Sep-19,29.22,30.15,29.22,30.11,70100,0
29-Sep-19,30.21,30.58,29.56,30.43,68000,0
6-Oct-19,30.45,30.68,30.25,30.25,38800,0
13-Oct-19,30.44,30.65,29.01,29.19,35700,0
20-Oct-19,28.98,29.70,28.96,29.64,32000,0
27-Oct-19,29.47,29.60,29.18,29.18,20400,0
3-Nov-19,29.00,29.58,28.83,28.84,49500,0
10-Nov-19,28.58,28.64,28.09,28.39,40200,0
17-Nov-19,28.95,29.27,28.87,29.15,22200,0
24-Nov-19,29.17,29.78,28.78,29.74,52000,0
1-Dec-19,29.43,29.79,29.24,29.79,39000,0
8-Dec-19,29.81,30.19,29.21,29.21,178700,0
15-Dec-19,29.31,29.48,28.27,28.69,167000,0
22-Dec-19,28.27,28.33,27.96,28.04,52900,0
29-Dec-19,28.43,28.53,28.00,28.11,20500,0
5-Jan-20,27.70,27.82,26.90,27.17,63200,0
12-Jan-20,27.21,27.21,26.83,26.85,110100,0
19-Jan-20,26.49,26.72,26.30,26.57,53700,0
26-Jan-20,27.30,28.51,27.25,28.37,178400,1
2-Feb-20,30.37,30.77,29.36,30.65,937200,0
9-Feb-20,31.10,31.15,28.65,29.46,732400,0
16-Feb-20,29.21,29.21,28.07,28.43,424200,0
23-Feb-20,28.03,28.08,27.35,27.46,510100,-1
1-Mar-20,28.19,29.02,27.16,28.29,1180600,0
8-Mar-20,27.55,27.64,26.50,27.28,863100,0
15-Mar-20,28.53,29.79,26.65,27.83,858900,0
22-Mar-20,30.99,32.00,28.88,31.56,544400,1
29-Mar-20,31.14,31.70,28.98,30.07,304900,-1
5-Apr-20,29.96,30.42,29.23,29.53,225000,0
12-Apr-20,28.85,29.18,28.10,28.85,75800,0
19-Apr-20,29.00,29.25,28.48,28.55,69600,0
26-Apr-20,28.55,29.13,28.35,28.75,94700,0
3-May-20,28.53,29.55,27.98,29.50,95500,0
10-May-20,29.46,29.56,27.32,27.43,98500,0
17-May-20,27.70,28.20,27.39,28.10,135300,0
24-May-20,27.61,28.49,27.33,28.37,99400,0
31-May-20,28.02,28.64,27.95,28.02,89200,0
7-Jun-20,27.72,27.76,26.55,26.60,88900,0
14-Jun-20,26.66,27.19,26.42,26.80,81000,0
21-Jun-20,27.17,27.17,26.02,26.22,94200,0
28-Jun-20,25.94,26.02,25.62,25.87,51800,0
5-Jul-20,25.89,25.92,24.25,24.27,69200,0
12-Jul-20,22.00,22.18,21.15,21.63,280000,0
19-Jul-20,21.23,21.58,21.04,21.36,56925,0
